Date,Close,Date,High,Date,Low,Date,Open
21/10/2020 16:00:00,79.3,21/10/2020 16:00:00,80.76,21/10/2020 16:00:00,78.36,21/10/2020 16:00:00,78.49
22/10/2020 16:00:00,80.33,22/10/2020 16:00:00,80.67,22/10/2020 16:00:00,78.87,22/10/2020 16:00:00,79.25
23/10/2020 16:00:00,81.65,23/10/2020 16:00:00,81.71,23/10/2020 16:00:00,80.6,23/10/2020 16:00:00,80.75
26/10/2020 16:00:00,79.21,26/10/2020 16:00:00,81.48,26/10/2020 16:00:00,78.39,26/10/2020 16:00:00,80.75
27/10/2020 16:00:00,79.94,27/10/2020 16:00:00,80.1,27/10/2020 16:00:00,78.85,27/10/2020 16:00:00,79.45
28/10/2020 16:00:00,75.54,28/10/2020 16:00:00,77.69,28/10/2020 16:00:00,75.42,28/10/2020 16:00:00,77.5
29/10/2020 16:00:00,77.84,29/10/2020 16:00:00,79.44,29/10/2020 16:00:00,75.83,29/10/2020 16:00:00,75.85
30/10/2020 16:00:00,80.81,30/10/2020 16:00:00,84.07,30/10/2020 16:00:00,80.08,30/10/2020 16:00:00,83.37
02/11/2020 16:00:00,81.22,02/11/2020 16:00:00,82.91,02/11/2020 16:00:00,80.71,02/11/2020 16:00:00,81.18
03/11/2020 16:00:00,82.28,03/11/2020 16:00:00,82.95,03/11/2020 16:00:00,80.61,03/11/2020 16:00:00,81.54
04/11/2020 16:00:00,87.29,04/11/2020 16:00:00,88.5,04/11/2020 16:00:00,85.15,04/11/2020 16:00:00,85.28
05/11/2020 16:00:00,88.13,05/11/2020 16:00:00,89.59,05/11/2020 16:00:00,87.05,05/11/2020 16:00:00,88.52
06/11/2020 16:00:00,87.99,06/11/2020 16:00:00,88.42,06/11/2020 16:00:00,86.83,06/11/2020 16:00:00,87.57
09/11/2020 16:00:00,88.07,09/11/2020 16:00:00,90.84,09/11/2020 16:00:00,87.88,09/11/2020 16:00:00,89.8
10/11/2020 16:00:00,86.89,10/11/2020 16:00:00,87.97,10/11/2020 16:00:00,85.81,10/11/2020 16:00:00,86.49
11/11/2020 16:00:00,87.36,11/11/2020 16:00:00,88.15,11/11/2020 16:00:00,87.15,11/11/2020 16:00:00,87.42
12/11/2020 16:00:00,87.14,12/11/2020 16:00:00,88.25,12/11/2020 16:00:00,86.9,12/11/2020 16:00:00,87.1
13/11/2020 16:00:00,88.61,13/11/2020 16:00:00,88.86,13/11/2020 16:00:00,86.8,13/11/2020 16:00:00,87.4
16/11/2020 16:00:00,88.7,16/11/2020 16:00:00,89.72,16/11/2020 16:00:00,88.07,16/11/2020 16:00:00,88.21
17/11/2020 16:00:00,88.08,17/11/2020 16:00:00,88.86,17/11/2020 16:00:00,87.97,17/11/2020 16:00:00,88.39
18/11/2020 16:00:00,87.03,18/11/2020 16:00:00,88.25,18/11/2020 16:00:00,86.93,18/11/2020 16:00:00,87.83
19/11/2020 16:00:00,87.93,19/11/2020 16:00:00,88.17,19/11/2020 16:00:00,86.5,19/11/2020 16:00:00,86.66
20/11/2020 16:00:00,86.82,20/11/2020 16:00:00,88.42,20/11/2020 16:00:00,86.75,20/11/2020 16:00:00,88.1
23/11/2020 16:00:00,86.38,23/11/2020 16:00:00,87.3,23/11/2020 16:00:00,85.51,23/11/2020 16:00:00,87.01
24/11/2020 16:00:00,88.2,24/11/2020 16:00:00,88.32,24/11/2020 16:00:00,86.04,24/11/2020 16:00:00,86.38
25/11/2020 16:00:00,88.21,25/11/2020 16:00:00,88.52,25/11/2020 16:00:00,87.42,25/11/2020 16:00:00,88.39
27/11/2020 13:00:00,89.35,27/11/2020 13:00:00,89.85,27/11/2020 13:00:00,88.23,27/11/2020 13:00:00,88.23
30/11/2020 16:00:00,87.72,30/11/2020 16:00:00,89.02,30/11/2020 16:00:00,87.39,30/11/2020 16:00:00,88.78
01/12/2020 16:00:00,89.77,01/12/2020 16:00:00,91.09,01/12/2020 16:00:00,88.15,01/12/2020 16:00:00,88.33
02/12/2020 16:00:00,91.25,02/12/2020 16:00:00,91.64,02/12/2020 16:00:00,89.26,02/12/2020 16:00:00,89.77
03/12/2020 16:00:00,91.09,03/12/2020 16:00:00,92.19,03/12/2020 16:00:00,90.85,03/12/2020 16:00:00,91.03
04/12/2020 16:00:00,91.19,04/12/2020 16:00:00,91.47,04/12/2020 16:00:00,90.68,04/12/2020 16:00:00,91.01
07/12/2020 16:00:00,90.85,07/12/2020 16:00:00,91.46,07/12/2020 16:00:00,90.15,07/12/2020 16:00:00,90.78
08/12/2020 16:00:00,90.57,08/12/2020 16:00:00,90.8,08/12/2020 16:00:00,89.56,08/12/2020 16:00:00,90.43
09/12/2020 16:00:00,88.89,09/12/2020 16:00:00,91.42,09/12/2020 16:00:00,88.1,09/12/2020 16:00:00,90.52
10/12/2020 16:00:00,88.38,10/12/2020 16:00:00,88.75,10/12/2020 16:00:00,86.68,10/12/2020 16:00:00,88.13
11/12/2020 16:00:00,88.74,11/12/2020 16:00:00,88.87,11/12/2020 16:00:00,87.64,11/12/2020 16:00:00,88
14/12/2020 16:00:00,87.61,14/12/2020 16:00:00,89.49,14/12/2020 16:00:00,87.46,14/12/2020 16:00:00,88.54
15/12/2020 16:00:00,88.05,15/12/2020 16:00:00,88.2,15/12/2020 16:00:00,87.08,15/12/2020 16:00:00,87.99
16/12/2020 16:00:00,87.86,16/12/2020 16:00:00,88.46,16/12/2020 16:00:00,87.45,16/12/2020 16:00:00,88.46
17/12/2020 16:00:00,87.03,17/12/2020 16:00:00,88.34,17/12/2020 16:00:00,86.56,17/12/2020 16:00:00,88.2
18/12/2020 16:00:00,86.31,18/12/2020 16:00:00,87.42,18/12/2020 16:00:00,85.75,18/12/2020 16:00:00,87.31
21/12/2020 16:00:00,86.73,21/12/2020 16:00:00,86.85,21/12/2020 16:00:00,84.7,21/12/2020 16:00:00,85.46
22/12/2020 16:00:00,86.01,22/12/2020 16:00:00,86.63,22/12/2020 16:00:00,85.29,22/12/2020 16:00:00,86.47
23/12/2020 16:00:00,86.41,23/12/2020 16:00:00,87.21,23/12/2020 16:00:00,86.06,23/12/2020 16:00:00,86.2
24/12/2020 13:00:00,86.71,24/12/2020 13:00:00,87.12,24/12/2020 13:00:00,86.22,24/12/2020 13:00:00,86.45
28/12/2020 16:00:00,88.7,28/12/2020 16:00:00,89.35,28/12/2020 16:00:00,87.09,28/12/2020 16:00:00,87.25
29/12/2020 16:00:00,87.89,29/12/2020 16:00:00,89.42,29/12/2020 16:00:00,87.76,29/12/2020 16:00:00,89.36
30/12/2020 16:00:00,86.81,30/12/2020 16:00:00,88.39,30/12/2020 16:00:00,86.4,30/12/2020 16:00:00,88.25
31/12/2020 16:00:00,87.63,31/12/2020 16:00:00,87.88,31/12/2020 16:00:00,86.8,31/12/2020 16:00:00,86.86
04/01/2021 16:00:00,86.31,04/01/2021 16:00:00,88.12,04/01/2021 16:00:00,85.36,04/01/2021 16:00:00,88
05/01/2021 16:00:00,87,05/01/2021 16:00:00,87.34,05/01/2021 16:00:00,85.85,05/01/2021 16:00:00,86.25
06/01/2021 16:00:00,86.14,06/01/2021 16:00:00,87.2,06/01/2021 16:00:00,84.81,06/01/2021 16:00:00,85.01
